RespondentID,AI_Adoption,AI_WorkflowCoverage_Current,AI_ToolBreadth_Absolute,AI_ToolBreadth_Relative,AI_Attitude,AI_Trust,AI_Threat,AI_ExpectedBenefits_Efficiency,AI_ExpectedBenefits_Learning,AI_ExpectedBenefits_Quality,AI_ExpectedBenefits_Collab,AI_ComplexHandling,JobSatisfaction,AI_UseForLearning
27,100.0,25.0,3,25.0,100.0,75.0,0.0,100.0,100.0,0.0,0.0,25.0,70.0,0
28,30.0,0.0,2,16.666666666666664,50.0,,0.0,,,,,,,0
29,100.0,12.5,1,8.333333333333332,100.0,50.0,0.0,50.0,100.0,100.0,0.0,75.0,,0
30,100.0,12.5,1,8.333333333333332,50.0,25.0,0.0,0.0,100.0,0.0,0.0,50.0,,0
31,30.0,0.0,1,8.333333333333332,50.0,,0.0,,,,,,70.0,0
32,100.0,0.0,1,8.333333333333332,50.0,25.0,0.0,0.0,0.0,100.0,0.0,50.0,,0
33,30.0,0.0,0,0.0,50.0,,0.0,,,,,,60.0,0
34,100.0,25.0,4,33.33333333333333,75.0,25.0,0.0,100.0,0.0,0.0,0.0,25.0,,0
35,0.0,0.0,1,8.333333333333332,,,,,,,,,70.0,0
36,0.0,0.0,0,0.0,,,,,,,,,,0
37,100.0,50.0,1,8.333333333333332,75.0,75.0,0.0,50.0,0.0,0.0,0.0,25.0,,0
38,0.0,0.0,0,0.0,,,,,,,,,,0
39,100.0,0.0,2,16.666666666666664,50.0,50.0,0.0,50.0,100.0,100.0,0.0,75.0,,0
40,100.0,25.0,1,8.333333333333332,100.0,75.0,0.0,100.0,100.0,100.0,0.0,0.0,70.0,0
41,100.0,37.5,1,8.333333333333332,100.0,75.0,0.0,100.0,100.0,0.0,0.0,50.0,70.0,100
42,100.0,37.5,3,25.0,50.0,50.0,0.0,50.0,100.0,0.0,0.0,50.0,,0
43,0.0,0.0,3,25.0,,,,,,,,,90.0,0
44,100.0,12.5,3,25.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,25.0,90.0,0
45,100.0,37.5,1,8.333333333333332,75.0,75.0,100.0,0.0,100.0,0.0,0.0,75.0,70.0,100
46,100.0,12.5,1,8.333333333333332,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,60.0,0
47,0.0,0.0,0,0.0,,,,,,,,,,0
48,0.0,0.0,0,0.0,,,,,,,,,,0
49,100.0,50.0,3,25.0,100.0,75.0,0.0,100.0,0.0,0.0,0.0,50.0,30.0,0
50,100.0,25.0,1,8.333333333333332,75.0,75.0,0.0,50.0,100.0,0.0,0.0,75.0,,0
51,100.0,87.5,6,50.0,75.0,25.0,0.0,100.0,100.0,0.0,0.0,0.0,,100
52,100.0,50.0,5,41.66666666666667,75.0,25.0,100.0,100.0,0.0,0.0,0.0,75.0,,0
53,0.0,0.0,1,8.333333333333332,,,,,,,,,30.0,0
54,0.0,0.0,2,16.666666666666664,,,,,,,,,70.0,0
55,0.0,0.0,0,0.0,,,,,,,,,,0
56,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
57,30.0,0.0,1,8.333333333333332,0.0,,0.0,,,,,,60.0,0
58,100.0,12.5,1,8.333333333333332,75.0,75.0,0.0,100.0,0.0,0.0,0.0,50.0,,0
59,30.0,0.0,0,0.0,75.0,,50.0,,,,,,,0
60,100.0,25.0,3,25.0,75.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,,0
61,30.0,0.0,2,16.666666666666664,50.0,,0.0,,,,,,70.0,0
62,100.0,25.0,3,25.0,40.0,50.0,0.0,100.0,100.0,0.0,0.0,25.0,,0
63,0.0,0.0,1,8.333333333333332,,,,,,,,,90.0,0
64,30.0,0.0,1,8.333333333333332,50.0,,0.0,,,,,,90.0,0
65,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
66,100.0,12.5,5,41.66666666666667,75.0,25.0,50.0,100.0,100.0,0.0,0.0,75.0,,0
67,100.0,0.0,2,16.666666666666664,75.0,25.0,100.0,100.0,100.0,0.0,0.0,50.0,,0
68,100.0,75.0,3,25.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,,100
69,100.0,37.5,2,16.666666666666664,75.0,25.0,0.0,50.0,100.0,0.0,0.0,50.0,90.0,0
70,0.0,0.0,0,0.0,,,,,,,,,,0
71,30.0,0.0,3,25.0,75.0,,0.0,,,,,,70.0,0
72,100.0,50.0,4,33.33333333333333,100.0,75.0,0.0,100.0,100.0,100.0,100.0,75.0,100.0,100
73,0.0,0.0,1,8.333333333333332,,,,,,,,,90.0,0
74,0.0,0.0,0,0.0,,,,,,,,,70.0,0
75,30.0,0.0,1,8.333333333333332,75.0,,0.0,,,,,,,0
76,0.0,0.0,1,8.333333333333332,,,,,,,,,60.0,0
77,100.0,50.0,1,8.333333333333332,50.0,75.0,0.0,50.0,100.0,0.0,0.0,25.0,70.0,0
78,30.0,0.0,3,25.0,0.0,,50.0,,,,,,80.0,0
79,100.0,37.5,3,25.0,50.0,25.0,0.0,50.0,100.0,100.0,0.0,50.0,80.0,0
80,0.0,0.0,1,8.333333333333332,,,,,,,,,70.0,0
81,100.0,50.0,1,8.333333333333332,40.0,25.0,0.0,100.0,0.0,0.0,0.0,25.0,70.0,100
82,30.0,0.0,0,0.0,75.0,,0.0,,,,,,40.0,0
83,0.0,0.0,0,0.0,,,,,,,,,20.0,0
84,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
85,0.0,0.0,1,8.333333333333332,,,,,,,,,,0
86,100.0,25.0,3,25.0,75.0,50.0,0.0,50.0,100.0,0.0,0.0,25.0,80.0,0
87,0.0,0.0,0,0.0,,,,,,,,,,0
88,0.0,0.0,0,0.0,,,,,,,,,,0
89,30.0,0.0,2,16.666666666666664,75.0,,0.0,,,,,,80.0,0
90,0.0,0.0,0,0.0,,,,,,,,,,0
91,100.0,25.0,6,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0
92,100.0,50.0,2,16.666666666666664,75.0,50.0,50.0,100.0,0.0,0.0,0.0,50.0,40.0,100
93,30.0,0.0,0,0.0,75.0,,0.0,,,,,,60.0,0
94,100.0,0.0,2,16.666666666666664,75.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,,0
95,100.0,37.5,0,0.0,75.0,50.0,100.0,50.0,100.0,0.0,0.0,25.0,30.0,0
96,100.0,25.0,2,16.666666666666664,100.0,75.0,100.0,100.0,0.0,100.0,0.0,75.0,70.0,0
97,30.0,0.0,0,0.0,0.0,,0.0,,,,,,,0
98,100.0,25.0,4,33.33333333333333,100.0,100.0,0.0,100.0,100.0,100.0,0.0,75.0,80.0,0
99,0.0,0.0,1,8.333333333333332,,,,,,,,,,0
100,100.0,25.0,3,25.0,100.0,75.0,100.0,50.0,100.0,0.0,0.0,25.0,20.0,0
101,100.0,37.5,3,25.0,50.0,25.0,0.0,100.0,100.0,0.0,0.0,0.0,70.0,0
102,100.0,50.0,2,16.666666666666664,75.0,50.0,0.0,100.0,0.0,0.0,0.0,75.0,80.0,0
103,100.0,12.5,2,16.666666666666664,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0
104,100.0,37.5,2,16.666666666666664,75.0,75.0,0.0,50.0,0.0,100.0,0.0,50.0,,0
105,100.0,25.0,2,16.666666666666664,50.0,25.0,0.0,50.0,0.0,0.0,0.0,25.0,10.0,0
106,0.0,0.0,0,0.0,,,,,,,,,,0
107,100.0,0.0,1,8.333333333333332,50.0,25.0,50.0,0.0,100.0,0.0,0.0,25.0,90.0,0
108,0.0,0.0,0,0.0,,,,,,,,,,0
109,100.0,12.5,6,50.0,100.0,75.0,0.0,100.0,100.0,100.0,0.0,75.0,,0
110,100.0,62.5,3,25.0,75.0,50.0,100.0,50.0,100.0,0.0,0.0,75.0,40.0,100
111,100.0,12.5,2,16.666666666666664,50.0,25.0,50.0,50.0,100.0,0.0,0.0,25.0,,0
112,100.0,12.5,3,25.0,75.0,25.0,50.0,50.0,100.0,0.0,0.0,25.0,90.0,0
113,0.0,0.0,0,0.0,,,,,,,,,,0
114,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
115,100.0,37.5,3,25.0,50.0,25.0,0.0,100.0,100.0,100.0,0.0,25.0,70.0,100
116,0.0,0.0,0,0.0,,,,,,,,,70.0,0
117,100.0,37.5,3,25.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,75.0,80.0,0
118,100.0,12.5,4,33.33333333333333,75.0,75.0,0.0,0.0,100.0,0.0,0.0,25.0,,0
119,0.0,0.0,0,0.0,,,,,,,,,,0
120,100.0,37.5,2,16.666666666666664,100.0,75.0,0.0,50.0,100.0,0.0,0.0,100.0,80.0,100
121,100.0,25.0,4,33.33333333333333,50.0,75.0,0.0,50.0,100.0,100.0,0.0,50.0,80.0,0
122,0.0,0.0,0,0.0,,,,,,,,,,0
123,0.0,0.0,1,8.333333333333332,,,,,,,,,80.0,0
124,100.0,25.0,3,25.0,75.0,25.0,0.0,100.0,0.0,0.0,0.0,25.0,100.0,0
125,100.0,0.0,1,8.333333333333332,75.0,25.0,0.0,100.0,0.0,0.0,0.0,50.0,,0
126,100.0,12.5,2,16.666666666666664,100.0,50.0,0.0,100.0,100.0,0.0,0.0,75.0,80.0,0
127,100.0,25.0,9,75.0,75.0,25.0,100.0,50.0,0.0,0.0,0.0,25.0,,0
128,100.0,25.0,2,16.666666666666664,75.0,75.0,0.0,100.0,0.0,0.0,0.0,75.0,,0
129,100.0,12.5,3,25.0,75.0,25.0,0.0,50.0,0.0,0.0,0.0,50.0,60.0,0
130,0.0,0.0,0,0.0,,,,,,,,,80.0,0
131,100.0,37.5,2,16.666666666666664,100.0,75.0,0.0,100.0,100.0,100.0,100.0,25.0,80.0,0
132,100.0,37.5,2,16.666666666666664,75.0,75.0,0.0,50.0,100.0,100.0,0.0,75.0,60.0,0
133,0.0,0.0,1,8.333333333333332,,,,,,,,,70.0,0
134,30.0,0.0,1,8.333333333333332,50.0,,0.0,,,,,,,0
135,100.0,25.0,2,16.666666666666664,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,,100
136,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
137,0.0,0.0,1,8.333333333333332,,,,,,,,,,0
138,0.0,0.0,0,0.0,,,,,,,,,,0
139,0.0,0.0,0,0.0,,,,,,,,,,0
140,30.0,0.0,1,8.333333333333332,75.0,,50.0,,,,,,,0
141,100.0,25.0,2,16.666666666666664,75.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,90.0,100
142,100.0,75.0,0,0.0,100.0,75.0,0.0,50.0,0.0,0.0,0.0,75.0,80.0,100
143,0.0,0.0,1,8.333333333333332,,,,,,,,,,0
144,0.0,0.0,1,8.333333333333332,,,,,,,,,100.0,0
145,100.0,25.0,2,16.666666666666664,25.0,25.0,100.0,50.0,100.0,0.0,0.0,75.0,30.0,0
146,0.0,0.0,0,0.0,,,,,,,,,90.0,0
147,30.0,0.0,0,0.0,25.0,,0.0,,,,,,,0
148,30.0,0.0,0,0.0,75.0,,50.0,,,,,,80.0,0
149,100.0,37.5,5,41.66666666666667,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100
150,0.0,0.0,0,0.0,,,,,,,,,,0
151,30.0,0.0,1,8.333333333333332,40.0,,50.0,,,,,,,0
152,100.0,12.5,2,16.666666666666664,50.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,70.0,0
153,100.0,75.0,1,8.333333333333332,75.0,25.0,0.0,50.0,100.0,0.0,0.0,75.0,,0
154,100.0,0.0,1,8.333333333333332,75.0,50.0,0.0,50.0,100.0,0.0,0.0,0.0,100.0,0
155,100.0,100.0,4,33.33333333333333,75.0,75.0,0.0,100.0,100.0,100.0,0.0,75.0,,100
156,100.0,0.0,0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,,,0
157,100.0,0.0,2,16.666666666666664,50.0,75.0,0.0,100.0,100.0,0.0,0.0,50.0,30.0,0
158,100.0,25.0,4,33.33333333333333,50.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,60.0,0
159,100.0,25.0,2,16.666666666666664,75.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,0
160,0.0,0.0,1,8.333333333333332,,,,,,,,,60.0,0
161,100.0,0.0,0,0.0,50.0,50.0,0.0,,,,,25.0,70.0,0
162,100.0,37.5,7,58.333333333333336,100.0,25.0,0.0,100.0,0.0,0.0,0.0,25.0,60.0,0
163,30.0,0.0,0,0.0,75.0,,0.0,,,,,,80.0,0
164,100.0,0.0,1,8.333333333333332,75.0,50.0,0.0,50.0,0.0,0.0,0.0,25.0,,0
165,100.0,25.0,3,25.0,100.0,75.0,0.0,50.0,100.0,100.0,0.0,50.0,100.0,0
166,100.0,12.5,4,33.33333333333333,50.0,50.0,50.0,100.0,0.0,0.0,0.0,25.0,,100
167,100.0,37.5,6,50.0,75.0,50.0,0.0,100.0,0.0,0.0,0.0,75.0,,0
168,100.0,37.5,1,8.333333333333332,75.0,50.0,50.0,100.0,100.0,100.0,0.0,75.0,80.0,100
169,0.0,0.0,2,16.666666666666664,,,,,,,,,60.0,0
170,100.0,50.0,5,41.66666666666667,75.0,25.0,0.0,50.0,100.0,0.0,0.0,25.0,,0
171,30.0,0.0,7,58.333333333333336,50.0,,0.0,,,,,,,0
172,100.0,50.0,2,16.666666666666664,100.0,75.0,0.0,50.0,100.0,0.0,0.0,50.0,,0
173,100.0,0.0,3,25.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,50.0,50.0,0
174,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
175,100.0,12.5,2,16.666666666666664,75.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,60.0,0
176,0.0,0.0,0,0.0,,,,,,,,,70.0,0
177,100.0,37.5,3,25.0,100.0,75.0,0.0,50.0,0.0,100.0,0.0,75.0,70.0,0
178,100.0,50.0,1,8.333333333333332,75.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,,100
179,30.0,0.0,1,8.333333333333332,50.0,,0.0,,,,,,,0
180,100.0,25.0,1,8.333333333333332,100.0,25.0,0.0,100.0,100.0,0.0,0.0,75.0,60.0,0
181,0.0,0.0,3,25.0,,,,,,,,,,0
182,100.0,25.0,3,25.0,75.0,75.0,0.0,100.0,100.0,100.0,0.0,75.0,90.0,0
183,0.0,0.0,0,0.0,,,,,,,,,,0
184,100.0,37.5,5,41.66666666666667,100.0,75.0,50.0,100.0,100.0,100.0,0.0,25.0,,0
185,0.0,0.0,0,0.0,,,,,,,,,,0
186,100.0,25.0,2,16.666666666666664,100.0,75.0,50.0,50.0,100.0,0.0,0.0,75.0,80.0,100
187,100.0,50.0,5,41.66666666666667,100.0,75.0,0.0,100.0,100.0,0.0,0.0,50.0,,0
188,30.0,0.0,1,8.333333333333332,75.0,,50.0,,,,,,70.0,0
189,0.0,0.0,0,0.0,,,,,,,,,,0
190,30.0,0.0,2,16.666666666666664,75.0,,50.0,,,,,,90.0,0
191,100.0,50.0,2,16.666666666666664,75.0,50.0,100.0,0.0,100.0,100.0,0.0,25.0,80.0,0
192,0.0,0.0,0,0.0,,,,,,,,,,0
193,100.0,37.5,2,16.666666666666664,75.0,75.0,0.0,100.0,100.0,0.0,0.0,50.0,100.0,100
194,0.0,0.0,0,0.0,,,,,,,,,,0
195,30.0,0.0,3,25.0,50.0,,50.0,,,,,,,0
196,100.0,12.5,1,8.333333333333332,25.0,25.0,0.0,100.0,0.0,0.0,0.0,0.0,,0
197,0.0,0.0,0,0.0,,,,,,,,,,0
198,100.0,37.5,2,16.666666666666664,100.0,50.0,50.0,100.0,0.0,100.0,0.0,50.0,,0
199,0.0,0.0,0,0.0,,,,,,,,,90.0,0
200,100.0,37.5,3,25.0,75.0,75.0,0.0,100.0,0.0,100.0,0.0,75.0,,0
201,100.0,37.5,2,16.666666666666664,75.0,75.0,0.0,50.0,100.0,0.0,0.0,75.0,,100
202,100.0,37.5,1,8.333333333333332,40.0,50.0,0.0,0.0,100.0,0.0,0.0,,,0
203,0.0,0.0,1,8.333333333333332,,,,,,,,,,0
204,100.0,25.0,1,8.333333333333332,75.0,50.0,0.0,100.0,0.0,0.0,0.0,25.0,80.0,0
205,0.0,0.0,0,0.0,,,,,,,,,,0
206,30.0,0.0,0,0.0,75.0,,0.0,,,,,,90.0,0
207,100.0,12.5,4,33.33333333333333,75.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,,0
208,0.0,0.0,0,0.0,,,,,,,,,30.0,0
209,100.0,25.0,1,8.333333333333332,25.0,25.0,0.0,100.0,100.0,0.0,0.0,50.0,60.0,0
210,30.0,0.0,0,0.0,50.0,,0.0,,,,,,,0
211,0.0,0.0,0,0.0,,,,,,,,,,0
212,100.0,37.5,2,16.666666666666664,100.0,50.0,0.0,100.0,100.0,0.0,0.0,25.0,80.0,100
213,100.0,25.0,1,8.333333333333332,75.0,25.0,0.0,100.0,0.0,0.0,0.0,25.0,,0
214,30.0,0.0,1,8.333333333333332,75.0,,50.0,,,,,,50.0,0
215,100.0,25.0,2,16.666666666666664,50.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0,90.0,0
216,100.0,12.5,1,8.333333333333332,50.0,50.0,100.0,0.0,100.0,100.0,0.0,25.0,,0
217,100.0,37.5,4,33.33333333333333,75.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,80.0,0
218,100.0,25.0,2,16.666666666666664,50.0,0.0,0.0,,,,,0.0,,0
219,100.0,37.5,4,33.33333333333333,75.0,50.0,50.0,50.0,100.0,0.0,0.0,75.0,,0
220,0.0,0.0,0,0.0,,,,,,,,,80.0,0
221,30.0,0.0,2,16.666666666666664,50.0,,0.0,,,,,,,0
222,100.0,37.5,1,8.333333333333332,75.0,25.0,0.0,50.0,0.0,0.0,0.0,25.0,,0
223,100.0,37.5,2,16.666666666666664,75.0,75.0,0.0,100.0,100.0,0.0,0.0,50.0,10.0,100
224,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
225,0.0,0.0,1,8.333333333333332,,,,,,,,,80.0,0
226,0.0,0.0,0,0.0,,,,,,,,,100.0,0
227,100.0,25.0,1,8.333333333333332,40.0,50.0,100.0,100.0,100.0,0.0,0.0,50.0,,0
228,100.0,25.0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,70.0,100
229,0.0,0.0,0,0.0,,,,,,,,,,0
230,30.0,0.0,0,0.0,75.0,,0.0,,,,,,60.0,0
231,100.0,0.0,2,16.666666666666664,75.0,75.0,100.0,50.0,0.0,0.0,0.0,75.0,,0
232,0.0,0.0,2,16.666666666666664,,,,,,,,,100.0,0
233,0.0,0.0,1,8.333333333333332,,,,,,,,,,0
234,30.0,0.0,1,8.333333333333332,75.0,,0.0,,,,,,,0
235,0.0,0.0,0,0.0,,,,,,,,,,0
236,100.0,25.0,2,16.666666666666664,75.0,75.0,0.0,100.0,100.0,0.0,0.0,25.0,30.0,0
237,0.0,0.0,0,0.0,,,,,,,,,60.0,0
238,100.0,37.5,1,8.333333333333332,75.0,75.0,50.0,100.0,0.0,0.0,0.0,25.0,,0
239,30.0,0.0,1,8.333333333333332,75.0,,0.0,,,,,,,0
240,0.0,0.0,0,0.0,,,,,,,,,,0
241,0.0,0.0,0,0.0,,,,,,,,,100.0,0
242,100.0,37.5,2,16.666666666666664,100.0,75.0,100.0,100.0,0.0,0.0,0.0,75.0,70.0,0
243,100.0,50.0,3,25.0,75.0,50.0,0.0,100.0,0.0,100.0,0.0,25.0,,0
244,100.0,25.0,2,16.666666666666664,100.0,75.0,0.0,100.0,0.0,100.0,0.0,75.0,80.0,0
245,0.0,0.0,0,0.0,,,,,,,,,90.0,0
246,100.0,25.0,2,16.666666666666664,75.0,75.0,50.0,50.0,0.0,0.0,0.0,50.0,,0
247,0.0,0.0,3,25.0,,,,,,,,,,0
248,100.0,12.5,1,8.333333333333332,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,70.0,0
249,0.0,0.0,0,0.0,,,,,,,,,60.0,0
250,30.0,0.0,1,8.333333333333332,50.0,,100.0,,,,,,,0
251,0.0,0.0,2,16.666666666666664,,,,,,,,,100.0,0
252,0.0,0.0,0,0.0,,,,,,,,,90.0,0
253,100.0,25.0,1,8.333333333333332,100.0,25.0,0.0,50.0,100.0,0.0,0.0,25.0,90.0,0
254,0.0,0.0,0,0.0,,,,,,,,,,0
255,0.0,0.0,0,0.0,,,,,,,,,40.0,0
256,30.0,0.0,1,8.333333333333332,40.0,,50.0,,,,,,80.0,0
257,0.0,0.0,1,8.333333333333332,,,,,,,,,,0
258,100.0,75.0,1,8.333333333333332,100.0,75.0,0.0,50.0,100.0,100.0,0.0,75.0,,100
259,0.0,0.0,0,0.0,,,,,,,,,,0
260,0.0,0.0,2,16.666666666666664,,,,,,,,,60.0,0
261,100.0,25.0,2,16.666666666666664,75.0,50.0,0.0,100.0,0.0,0.0,0.0,75.0,50.0,0
262,100.0,37.5,1,8.333333333333332,75.0,25.0,0.0,100.0,100.0,0.0,0.0,25.0,,100
263,0.0,0.0,2,16.666666666666664,,,,,,,,,,0
264,0.0,0.0,0,0.0,,,,,,,,,,0
265,0.0,0.0,0,0.0,,,,,,,,,70.0,0
266,100.0,25.0,1,8.333333333333332,75.0,50.0,50.0,100.0,100.0,0.0,0.0,25.0,90.0,100
267,0.0,0.0,0,0.0,,,,,,,,,,0
268,0.0,0.0,0,0.0,,,,,,,,,,0
269,0.0,0.0,0,0.0,,,,,,,,,50.0,0
270,100.0,25.0,2,16.666666666666664,75.0,75.0,0.0,50.0,0.0,0.0,0.0,75.0,90.0,100
271,100.0,37.5,1,8.333333333333332,75.0,50.0,50.0,50.0,100.0,0.0,0.0,50.0,,100
272,30.0,0.0,1,8.333333333333332,50.0,,0.0,,,,,,50.0,0
273,0.0,0.0,1,8.333333333333332,,,,,,,,,80.0,0
274,100.0,50.0,2,16.666666666666664,75.0,50.0,50.0,100.0,0.0,0.0,100.0,25.0,70.0,100
275,100.0,25.0,2,16.666666666666664,75.0,50.0,0.0,100.0,100.0,100.0,0.0,0.0,50.0,0
276,100.0,37.5,2,16.666666666666664,100.0,75.0,0.0,100.0,100.0,100.0,0.0,75.0,80.0,0
277,100.0,37.5,3,25.0,100.0,75.0,0.0,100.0,100.0,0.0,0.0,25.0,,100
278,0.0,0.0,3,25.0,,,,,,,,,,0
279,0.0,0.0,0,0.0,,,,,,,,,70.0,0
280,100.0,37.5,1,8.333333333333332,100.0,75.0,0.0,100.0,100.0,100.0,0.0,75.0,,0
281,0.0,0.0,0,0.0,,,,,,,,,80.0,0
282,0.0,0.0,0,0.0,,,,,,,,,,0
283,0.0,0.0,1,8.333333333333332,,,,,,,,,70.0,0
284,0.0,0.0,0,0.0,,,,,,,,,,0
285,100.0,25.0,0,0.0,75.0,50.0,50.0,0.0,0.0,0.0,100.0,75.0,60.0,100
286,30.0,0.0,0,0.0,40.0,,0.0,,,,,,80.0,0
287,0.0,0.0,1,8.333333333333332,,,,,,,,,70.0,0
288,100.0,0.0,1,8.333333333333332,50.0,50.0,0.0,0.0,0.0,100.0,0.0,50.0,100.0,0
289,0.0,0.0,3,25.0,,,,,,,,,,0
290,0.0,0.0,0,0.0,,,,,,,,,80.0,0
291,30.0,0.0,1,8.333333333333332,75.0,,0.0,,,,,,60.0,0
292,0.0,0.0,0,0.0,,,,,,,,,90.0,0
293,100.0,12.5,1,8.333333333333332,75.0,25.0,50.0,50.0,100.0,0.0,0.0,50.0,90.0,0
294,30.0,0.0,0,0.0,50.0,,0.0,,,,,,,0
295,100.0,50.0,5,41.66666666666667,100.0,75.0,0.0,50.0,0.0,100.0,0.0,75.0,,0
296,100.0,62.5,1,8.333333333333332,75.0,25.0,100.0,50.0,0.0,0.0,0.0,25.0,40.0,0
297,100.0,62.5,0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,0.0,100.0,,100
298,100.0,50.0,3,25.0,75.0,75.0,0.0,100.0,100.0,100.0,100.0,50.0,50.0,100
299,100.0,25.0,3,25.0,75.0,25.0,50.0,50.0,100.0,0.0,0.0,50.0,80.0,0
300,0.0,0.0,0,0.0,,,,,,,,,,0
301,0.0,0.0,0,0.0,,,,,,,,,,0
302,100.0,37.5,2,16.666666666666664,75.0,75.0,0.0,100.0,100.0,0.0,0.0,75.0,60.0,100
303,100.0,62.5,3,25.0,100.0,25.0,0.0,50.0,100.0,100.0,0.0,75.0,90.0,0
304,0.0,0.0,0,0.0,,,,,,,,,,0
305,30.0,0.0,0,0.0,100.0,,0.0,,,,,,,0
306,100.0,12.5,2,16.666666666666664,75.0,75.0,0.0,,,,,75.0,70.0,0
307,0.0,0.0,5,41.66666666666667,,,,,,,,,,0
308,100.0,50.0,1,8.333333333333332,100.0,75.0,0.0,100.0,100.0,100.0,0.0,75.0,,100
309,100.0,25.0,1,8.333333333333332,100.0,75.0,0.0,50.0,100.0,0.0,0.0,75.0,90.0,0
310,100.0,50.0,2,16.666666666666664,75.0,50.0,50.0,50.0,0.0,0.0,0.0,75.0,80.0,0
311,100.0,62.5,1,8.333333333333332,75.0,75.0,50.0,100.0,100.0,100.0,0.0,75.0,,100
312,0.0,0.0,0,0.0,,,,,,,,,50.0,0
