RespondentID,AI_Adoption,AI_WorkflowCoverage_Current,AI_ToolBreadth_Absolute,AI_ToolBreadth_Relative,AI_Attitude,AI_Trust,AI_Threat,AI_ComplexHandling,AI_AgentImpact_Productivity,AI_AgentImpact_Automation,AI_AgentImpact_Quality,AI_AgentImpact_Learning,AI_AgentImpact_ProblemSolving,AI_AgentImpact_Collaboration,JobSatisfaction,AI_UseForLearning,AI_LearnEngagement
22,40.0,6.25,4,8.88888888888889,25.0,25.0,50.0,25.0,,,,,,,90.0,0,3.3333333333333335
23,0.0,0.0,3,6.666666666666667,0.0,25.0,0.0,0.0,,,,,,,80.0,0,0.0
24,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,90.0,0,0.0
25,100.0,43.75,3,6.666666666666667,75.0,50.0,0.0,75.0,75.0,100.0,50.0,75.0,75.0,50.0,80.0,50,6.666666666666667
26,100.0,12.5,3,6.666666666666667,75.0,75.0,0.0,75.0,,,,,,,80.0,0,3.3333333333333335
27,100.0,0.0,0,0.0,50.0,50.0,50.0,25.0,,,,,,,90.0,0,0.0
28,75.0,6.25,4,8.88888888888889,75.0,75.0,0.0,50.0,37.5,25.0,50.0,50.0,50.0,50.0,100.0,0,6.666666666666667
29,100.0,18.75,9,20.0,75.0,25.0,0.0,0.0,,,,,,,80.0,0,10.0
30,40.0,6.25,10,22.22222222222222,50.0,50.0,0.0,25.0,50.0,50.0,25.0,25.0,50.0,50.0,,0,16.666666666666664
31,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,80.0,0,0.0
32,0.0,0.0,0,0.0,75.0,75.0,50.0,,,,,,,,70.0,0,0.0
33,0.0,0.0,2,4.444444444444445,50.0,50.0,0.0,25.0,,,,,,,80.0,0,0.0
34,100.0,0.0,0,0.0,100.0,50.0,50.0,75.0,,,,,,,80.0,0,3.3333333333333335
35,100.0,25.0,6,13.333333333333334,100.0,75.0,100.0,75.0,100.0,75.0,50.0,50.0,100.0,25.0,60.0,0,3.3333333333333335
36,100.0,18.75,6,13.333333333333334,75.0,75.0,50.0,25.0,75.0,75.0,50.0,0.0,25.0,50.0,70.0,0,10.0
37,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,100.0,0,0.0
38,100.0,12.5,1,2.2222222222222223,75.0,75.0,0.0,75.0,,,,,,,60.0,0,3.3333333333333335
39,40.0,0.0,1,2.2222222222222223,25.0,0.0,50.0,25.0,,,,,,,20.0,0,6.666666666666667
40,100.0,6.25,11,24.444444444444443,75.0,75.0,50.0,25.0,,,,,,,80.0,50,10.0
41,100.0,18.75,2,4.444444444444445,75.0,25.0,100.0,25.0,,,,,,,30.0,50,6.666666666666667
42,100.0,56.25,28,62.22222222222222,75.0,75.0,0.0,100.0,75.0,100.0,75.0,75.0,75.0,50.0,80.0,100,16.666666666666664
43,40.0,0.0,8,17.77777777777778,25.0,25.0,0.0,0.0,,,,,,,30.0,0,3.3333333333333335
44,0.0,0.0,2,4.444444444444445,50.0,25.0,50.0,25.0,,,,,,,60.0,0,3.3333333333333335
45,0.0,6.25,5,11.11111111111111,0.0,0.0,0.0,25.0,,,,,,,80.0,50,0.0
46,,0.0,0,0.0,,,50.0,,,,,,,,100.0,0,26.666666666666668
47,40.0,0.0,0,0.0,50.0,50.0,0.0,,,,,,,,50.0,0,10.0
48,40.0,6.25,13,28.888888888888886,25.0,0.0,50.0,0.0,,,,,,,70.0,0,10.0
49,100.0,18.75,10,22.22222222222222,75.0,50.0,0.0,25.0,75.0,75.0,50.0,100.0,75.0,50.0,80.0,50,20.0
50,100.0,6.25,4,8.88888888888889,100.0,100.0,100.0,75.0,,,,,,,60.0,0,3.3333333333333335
51,40.0,6.25,17,37.77777777777778,75.0,0.0,50.0,25.0,,,,,,,90.0,0,20.0
52,75.0,43.75,9,20.0,75.0,25.0,0.0,75.0,,,,,,,100.0,50,6.666666666666667
53,75.0,18.75,4,8.88888888888889,50.0,25.0,0.0,25.0,,,,,,,70.0,0,13.333333333333334
54,100.0,18.75,2,4.444444444444445,75.0,75.0,100.0,75.0,,,,,,,,0,3.3333333333333335
55,40.0,6.25,6,13.333333333333334,25.0,25.0,0.0,0.0,,,,,,,90.0,0,0.0
56,0.0,0.0,0,0.0,25.0,25.0,,,,,,,,,,0,0.0
57,100.0,18.75,1,2.2222222222222223,100.0,100.0,0.0,100.0,87.5,75.0,75.0,75.0,75.0,75.0,70.0,100,3.3333333333333335
58,40.0,12.5,13,28.888888888888886,25.0,25.0,0.0,0.0,,,,,,,80.0,0,0.0
59,100.0,18.75,4,8.88888888888889,75.0,75.0,50.0,75.0,,,,,,,80.0,50,10.0
60,100.0,12.5,5,11.11111111111111,75.0,75.0,100.0,75.0,,,,,,,90.0,0,6.666666666666667
61,100.0,18.75,8,17.77777777777778,75.0,75.0,0.0,50.0,87.5,75.0,50.0,75.0,75.0,50.0,70.0,0,10.0
62,40.0,12.5,2,4.444444444444445,75.0,25.0,50.0,25.0,,,,,,,60.0,50,3.3333333333333335
63,75.0,6.25,5,11.11111111111111,50.0,25.0,0.0,25.0,,,,,,,90.0,0,3.3333333333333335
64,75.0,0.0,6,13.333333333333334,50.0,0.0,0.0,0.0,,,,,,,70.0,0,0.0
65,0.0,0.0,0,0.0,40.0,0.0,0.0,,,,,,,,30.0,0,0.0
66,75.0,0.0,4,8.88888888888889,0.0,0.0,0.0,0.0,,,,,,,70.0,0,0.0
67,100.0,6.25,9,20.0,100.0,100.0,0.0,75.0,87.5,75.0,50.0,50.0,75.0,50.0,70.0,0,3.3333333333333335
68,40.0,0.0,4,8.88888888888889,50.0,75.0,0.0,25.0,,,,,,,,0,6.666666666666667
69,100.0,6.25,9,20.0,75.0,50.0,50.0,50.0,75.0,50.0,75.0,50.0,50.0,25.0,,0,6.666666666666667
70,,0.0,0,0.0,40.0,50.0,50.0,,,,,,,,90.0,0,0.0
71,0.0,0.0,0,0.0,25.0,25.0,0.0,,,,,,,,80.0,0,0.0
72,75.0,18.75,2,4.444444444444445,75.0,50.0,0.0,50.0,,,,,,,80.0,100,0.0
73,100.0,50.0,6,13.333333333333334,100.0,75.0,0.0,75.0,,,,,,,80.0,50,6.666666666666667
74,100.0,18.75,9,20.0,100.0,50.0,0.0,0.0,100.0,100.0,75.0,0.0,0.0,0.0,50.0,0,6.666666666666667
75,40.0,0.0,3,6.666666666666667,75.0,25.0,0.0,,,,,,,,80.0,0,3.3333333333333335
76,75.0,6.25,2,4.444444444444445,25.0,25.0,100.0,0.0,,,,,,,60.0,0,3.3333333333333335
77,100.0,43.75,5,11.11111111111111,100.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,50,3.3333333333333335
78,,0.0,3,6.666666666666667,50.0,50.0,,50.0,,,,,,,100.0,0,0.0
79,75.0,0.0,2,4.444444444444445,75.0,100.0,50.0,50.0,75.0,100.0,50.0,50.0,50.0,0.0,70.0,0,0.0
80,75.0,0.0,0,0.0,75.0,0.0,0.0,25.0,,,,,,,70.0,0,0.0
81,0.0,0.0,3,6.666666666666667,25.0,25.0,0.0,25.0,,,,,,,100.0,0,0.0
82,100.0,25.0,5,11.11111111111111,100.0,50.0,0.0,25.0,100.0,75.0,25.0,75.0,100.0,25.0,100.0,100,0.0
83,75.0,0.0,4,8.88888888888889,25.0,25.0,0.0,0.0,,,,,,,90.0,0,3.3333333333333335
84,100.0,6.25,8,17.77777777777778,25.0,25.0,0.0,25.0,,,,,,,100.0,0,10.0
85,100.0,31.25,6,13.333333333333334,100.0,75.0,0.0,25.0,75.0,100.0,50.0,75.0,75.0,75.0,70.0,0,13.333333333333334
86,100.0,25.0,2,4.444444444444445,75.0,75.0,0.0,50.0,75.0,100.0,50.0,75.0,75.0,50.0,100.0,0,0.0
87,40.0,0.0,0,0.0,25.0,0.0,0.0,0.0,,,,,,,70.0,0,10.0
88,100.0,12.5,0,0.0,100.0,75.0,0.0,100.0,,,,,,,90.0,0,10.0
89,100.0,31.25,2,4.444444444444445,100.0,100.0,100.0,100.0,62.5,25.0,75.0,50.0,75.0,50.0,70.0,50,3.3333333333333335
90,,0.0,15,33.33333333333333,100.0,,100.0,,,,,,,,70.0,0,3.3333333333333335
91,75.0,12.5,2,4.444444444444445,75.0,25.0,0.0,25.0,75.0,50.0,50.0,75.0,50.0,25.0,80.0,50,10.0
92,100.0,25.0,3,6.666666666666667,100.0,75.0,0.0,100.0,75.0,100.0,75.0,100.0,100.0,100.0,60.0,100,6.666666666666667
93,100.0,6.25,5,11.11111111111111,100.0,75.0,0.0,25.0,,,,,,,80.0,0,6.666666666666667
94,75.0,12.5,2,4.444444444444445,75.0,50.0,0.0,50.0,,,,,,,100.0,100,0.0
95,0.0,0.0,0,0.0,25.0,25.0,0.0,25.0,,,,,,,80.0,0,0.0
96,40.0,6.25,0,0.0,50.0,0.0,0.0,0.0,,,,,,,,0,3.3333333333333335
97,100.0,12.5,13,28.888888888888886,75.0,25.0,0.0,0.0,,,,,,,20.0,50,6.666666666666667
98,0.0,0.0,0,0.0,0.0,0.0,50.0,,,,,,,,,0,0.0
99,100.0,12.5,9,20.0,100.0,50.0,50.0,75.0,87.5,75.0,50.0,100.0,100.0,0.0,100.0,50,13.333333333333334
100,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,60.0,0,0.0
101,,0.0,2,4.444444444444445,25.0,0.0,0.0,,,,,,,,90.0,0,0.0
102,100.0,0.0,4,8.88888888888889,75.0,25.0,0.0,25.0,,,,,,,80.0,0,10.0
103,100.0,25.0,6,13.333333333333334,75.0,75.0,0.0,75.0,75.0,100.0,75.0,100.0,75.0,50.0,80.0,50,3.3333333333333335
104,0.0,0.0,0,0.0,25.0,,0.0,,,,,,,,50.0,0,0.0
105,100.0,18.75,6,13.333333333333334,100.0,75.0,0.0,75.0,,,,,,,70.0,0,3.3333333333333335
106,75.0,6.25,4,8.88888888888889,100.0,100.0,100.0,75.0,,,,,,,50.0,50,10.0
107,100.0,50.0,6,13.333333333333334,75.0,75.0,100.0,75.0,,,,,,,,100,6.666666666666667
108,0.0,0.0,3,6.666666666666667,25.0,0.0,50.0,,,,,,,,90.0,0,0.0
109,40.0,12.5,8,17.77777777777778,25.0,25.0,0.0,25.0,,,,,,,80.0,50,6.666666666666667
110,100.0,12.5,4,8.88888888888889,75.0,25.0,0.0,25.0,,,,,,,20.0,0,10.0
111,100.0,25.0,0,0.0,50.0,75.0,0.0,0.0,,,,,,,10.0,100,10.0
112,,0.0,0,0.0,25.0,75.0,,,,,,,,,,0,0.0
113,100.0,25.0,5,11.11111111111111,100.0,75.0,0.0,25.0,,,,,,,,100,13.333333333333334
114,75.0,12.5,13,28.888888888888886,50.0,0.0,0.0,0.0,,,,,,,100.0,0,10.0
115,75.0,31.25,4,8.88888888888889,50.0,25.0,0.0,0.0,62.5,75.0,25.0,50.0,25.0,25.0,70.0,50,20.0
116,0.0,0.0,0,0.0,50.0,0.0,0.0,,,,,,,,,0,0.0
117,40.0,0.0,5,11.11111111111111,0.0,25.0,0.0,0.0,,,,,,,,0,0.0
118,0.0,0.0,4,8.88888888888889,25.0,0.0,0.0,,,,,,,,,0,0.0
119,100.0,31.25,2,4.444444444444445,100.0,75.0,0.0,75.0,,,,,,,80.0,100,0.0
120,75.0,18.75,8,17.77777777777778,50.0,50.0,50.0,25.0,,,,,,,,0,10.0
121,75.0,0.0,1,2.2222222222222223,75.0,25.0,0.0,,,,,,,,100.0,0,6.666666666666667
122,100.0,0.0,8,17.77777777777778,100.0,50.0,0.0,50.0,,,,,,,20.0,0,3.3333333333333335
123,100.0,25.0,7,15.555555555555555,100.0,50.0,0.0,75.0,,,,,,,80.0,0,3.3333333333333335
124,0.0,6.25,2,4.444444444444445,0.0,0.0,100.0,0.0,,,,,,,50.0,0,0.0
125,100.0,31.25,11,24.444444444444443,100.0,75.0,100.0,75.0,,,,,,,40.0,0,16.666666666666664
126,100.0,18.75,2,4.444444444444445,100.0,75.0,0.0,75.0,,,,,,,80.0,50,3.3333333333333335
127,100.0,25.0,18,40.0,100.0,75.0,0.0,50.0,87.5,75.0,50.0,75.0,75.0,25.0,,0,10.0
128,40.0,0.0,3,6.666666666666667,75.0,75.0,50.0,75.0,,,,,,,50.0,0,10.0
129,75.0,6.25,6,13.333333333333334,75.0,50.0,0.0,75.0,,,,,,,70.0,0,0.0
130,0.0,0.0,3,6.666666666666667,0.0,25.0,50.0,,,,,,,,40.0,0,0.0
131,100.0,18.75,13,28.888888888888886,100.0,50.0,50.0,25.0,62.5,50.0,50.0,50.0,25.0,0.0,100.0,50,13.333333333333334
132,,0.0,0,0.0,75.0,50.0,50.0,50.0,,,,,,,70.0,0,10.0
133,40.0,0.0,3,6.666666666666667,75.0,25.0,100.0,0.0,62.5,75.0,0.0,50.0,0.0,0.0,90.0,0,13.333333333333334
134,100.0,18.75,12,26.666666666666668,100.0,75.0,0.0,25.0,75.0,100.0,50.0,75.0,75.0,25.0,90.0,50,13.333333333333334
135,75.0,25.0,2,4.444444444444445,75.0,50.0,0.0,25.0,,,,,,,,50,3.3333333333333335
136,100.0,12.5,19,42.22222222222222,100.0,75.0,100.0,25.0,,,,,,,60.0,50,13.333333333333334
137,40.0,0.0,0,0.0,0.0,25.0,0.0,25.0,,,,,,,100.0,0,0.0
138,100.0,6.25,10,22.22222222222222,75.0,75.0,0.0,50.0,,,,,,,80.0,0,0.0
139,100.0,12.5,4,8.88888888888889,75.0,75.0,0.0,25.0,,,,,,,100.0,0,16.666666666666664
140,0.0,0.0,4,8.88888888888889,50.0,25.0,50.0,25.0,,,,,,,40.0,0,0.0
141,0.0,0.0,0,0.0,25.0,0.0,50.0,0.0,,,,,,,90.0,0,0.0
142,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,60.0,0,0.0
143,75.0,25.0,10,22.22222222222222,0.0,0.0,0.0,25.0,75.0,75.0,25.0,75.0,75.0,50.0,,50,10.0
144,0.0,0.0,3,6.666666666666667,0.0,0.0,50.0,,,,,,,,80.0,0,0.0
145,0.0,0.0,4,8.88888888888889,0.0,0.0,0.0,,,,,,,,70.0,0,0.0
146,100.0,6.25,3,6.666666666666667,100.0,25.0,100.0,25.0,100.0,100.0,50.0,25.0,25.0,0.0,80.0,0,10.0
147,100.0,25.0,4,8.88888888888889,75.0,25.0,0.0,0.0,75.0,75.0,50.0,75.0,75.0,50.0,70.0,0,3.3333333333333335
148,75.0,0.0,1,2.2222222222222223,100.0,50.0,0.0,50.0,,,,,,,80.0,0,3.3333333333333335
149,100.0,56.25,4,8.88888888888889,100.0,75.0,50.0,25.0,,,,,,,50.0,50,13.333333333333334
150,100.0,12.5,11,24.444444444444443,75.0,75.0,0.0,50.0,75.0,50.0,75.0,50.0,75.0,25.0,90.0,50,16.666666666666664
151,100.0,31.25,12,26.666666666666668,100.0,75.0,0.0,75.0,100.0,100.0,50.0,75.0,100.0,25.0,60.0,50,6.666666666666667
152,40.0,0.0,3,6.666666666666667,25.0,25.0,50.0,,,,,,,,50.0,0,0.0
153,,0.0,5,11.11111111111111,75.0,75.0,50.0,75.0,,,,,,,90.0,0,0.0
154,100.0,12.5,9,20.0,100.0,50.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,50.0,,50,20.0
155,0.0,0.0,1,2.2222222222222223,75.0,50.0,50.0,25.0,,,,,,,50.0,0,0.0
156,100.0,18.75,4,8.88888888888889,100.0,50.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,50,10.0
157,100.0,12.5,5,11.11111111111111,75.0,50.0,0.0,50.0,,,,,,,,50,10.0
158,100.0,6.25,3,6.666666666666667,75.0,75.0,0.0,75.0,50.0,50.0,50.0,50.0,50.0,50.0,70.0,0,3.3333333333333335
159,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,70.0,0,0.0
160,100.0,0.0,8,17.77777777777778,75.0,0.0,0.0,0.0,,,,,,,80.0,0,16.666666666666664
161,75.0,37.5,10,22.22222222222222,75.0,50.0,0.0,75.0,75.0,100.0,100.0,25.0,50.0,0.0,,100,6.666666666666667
162,100.0,25.0,14,31.11111111111111,75.0,75.0,100.0,50.0,75.0,75.0,50.0,0.0,50.0,50.0,90.0,50,13.333333333333334
163,100.0,12.5,4,8.88888888888889,75.0,0.0,0.0,75.0,,,,,,,90.0,50,6.666666666666667
164,40.0,12.5,0,0.0,75.0,25.0,50.0,25.0,,,,,,,,0,10.0
165,100.0,12.5,0,0.0,100.0,50.0,0.0,25.0,,,,,,,,0,3.3333333333333335
166,0.0,0.0,4,8.88888888888889,0.0,0.0,0.0,,,,,,,,70.0,0,0.0
167,100.0,0.0,5,11.11111111111111,75.0,75.0,0.0,50.0,,,,,,,80.0,0,0.0
168,100.0,25.0,2,4.444444444444445,75.0,75.0,100.0,25.0,75.0,75.0,50.0,100.0,0.0,0.0,70.0,50,6.666666666666667
169,100.0,43.75,8,17.77777777777778,75.0,75.0,50.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,100.0,50,23.333333333333332
170,100.0,0.0,3,6.666666666666667,75.0,50.0,100.0,75.0,,,,,,,,0,13.333333333333334
171,40.0,12.5,4,8.88888888888889,50.0,25.0,0.0,25.0,37.5,75.0,50.0,25.0,0.0,0.0,80.0,0,10.0
172,100.0,25.0,6,13.333333333333334,100.0,75.0,0.0,75.0,,,,,,,70.0,50,6.666666666666667
173,100.0,31.25,4,8.88888888888889,50.0,25.0,0.0,25.0,,,,,,,,0,0.0
174,40.0,0.0,6,13.333333333333334,25.0,0.0,0.0,0.0,,,,,,,30.0,0,0.0
175,0.0,0.0,0,0.0,50.0,50.0,,,,,,,,,,0,0.0
176,0.0,0.0,0,0.0,25.0,0.0,0.0,25.0,,,,,,,50.0,0,3.3333333333333335
177,100.0,0.0,0,0.0,75.0,50.0,,,,,,,,,100.0,0,0.0
178,0.0,0.0,4,8.88888888888889,0.0,0.0,0.0,0.0,,,,,,,70.0,0,3.3333333333333335
179,75.0,0.0,0,0.0,75.0,50.0,0.0,50.0,,,,,,,100.0,0,0.0
180,100.0,12.5,3,6.666666666666667,100.0,75.0,0.0,75.0,,,,,,,,0,0.0
181,75.0,0.0,5,11.11111111111111,50.0,75.0,0.0,25.0,,,,,,,,0,10.0
182,100.0,25.0,6,13.333333333333334,75.0,25.0,0.0,25.0,,,,,,,60.0,0,6.666666666666667
183,100.0,0.0,0,0.0,75.0,,0.0,,,,,,,,,0,0.0
184,0.0,0.0,2,4.444444444444445,50.0,25.0,0.0,,,,,,,,70.0,0,0.0
185,100.0,6.25,2,4.444444444444445,100.0,75.0,0.0,,,,,,,,100.0,0,0.0
186,100.0,37.5,4,8.88888888888889,75.0,25.0,0.0,,,,,,,,70.0,50,0.0
187,0.0,0.0,0,0.0,75.0,50.0,100.0,,,,,,,,70.0,0,0.0
188,100.0,31.25,3,6.666666666666667,100.0,75.0,0.0,75.0,87.5,75.0,75.0,75.0,75.0,0.0,,0,3.3333333333333335
189,100.0,12.5,6,13.333333333333334,75.0,50.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,25.0,80.0,0,10.0
190,75.0,12.5,4,8.88888888888889,75.0,75.0,50.0,50.0,,,,,,,60.0,0,13.333333333333334
191,100.0,0.0,0,0.0,100.0,,0.0,,,,,,,,80.0,0,13.333333333333334
192,40.0,0.0,6,13.333333333333334,0.0,0.0,50.0,0.0,,,,,,,,0,10.0
193,,0.0,0,0.0,40.0,,,,,,,,,,,0,0.0
194,40.0,0.0,6,13.333333333333334,25.0,0.0,0.0,0.0,,,,,,,60.0,0,0.0
195,75.0,0.0,4,8.88888888888889,75.0,25.0,0.0,0.0,,,,,,,70.0,0,13.333333333333334
196,100.0,18.75,10,22.22222222222222,100.0,75.0,0.0,50.0,62.5,100.0,75.0,100.0,75.0,50.0,90.0,50,13.333333333333334
197,100.0,18.75,5,11.11111111111111,25.0,0.0,50.0,0.0,,,,,,,80.0,0,6.666666666666667
198,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,50.0,0,0.0
199,100.0,12.5,5,11.11111111111111,75.0,25.0,0.0,25.0,,,,,,,80.0,0,3.3333333333333335
200,0.0,0.0,0,0.0,25.0,0.0,0.0,,,,,,,,90.0,0,0.0
201,75.0,6.25,7,15.555555555555555,75.0,75.0,0.0,50.0,,,,,,,70.0,0,0.0
202,100.0,12.5,2,4.444444444444445,75.0,75.0,0.0,75.0,50.0,50.0,25.0,75.0,75.0,0.0,100.0,50,0.0
203,75.0,0.0,4,8.88888888888889,0.0,0.0,0.0,0.0,,,,,,,90.0,0,3.3333333333333335
204,40.0,6.25,3,6.666666666666667,75.0,75.0,0.0,25.0,,,,,,,,0,10.0
205,40.0,0.0,1,2.2222222222222223,0.0,0.0,100.0,0.0,,,,,,,70.0,0,0.0
206,0.0,0.0,2,4.444444444444445,0.0,25.0,0.0,,,,,,,,70.0,0,0.0
207,100.0,0.0,7,15.555555555555555,0.0,0.0,0.0,25.0,,,,,,,60.0,0,0.0
208,75.0,0.0,4,8.88888888888889,75.0,25.0,0.0,0.0,,,,,,,70.0,0,0.0
209,100.0,0.0,2,4.444444444444445,75.0,75.0,50.0,75.0,,,,,,,80.0,0,0.0
210,100.0,0.0,7,15.555555555555555,100.0,75.0,0.0,50.0,,,,,,,100.0,0,10.0
211,40.0,25.0,9,20.0,75.0,25.0,100.0,0.0,,,,,,,20.0,50,3.3333333333333335
212,75.0,18.75,5,11.11111111111111,50.0,25.0,50.0,25.0,62.5,50.0,25.0,75.0,50.0,50.0,80.0,50,3.3333333333333335
213,100.0,0.0,4,8.88888888888889,75.0,50.0,0.0,75.0,,,,,,,80.0,0,16.666666666666664
214,75.0,0.0,4,8.88888888888889,75.0,25.0,0.0,25.0,,,,,,,70.0,0,6.666666666666667
215,75.0,18.75,13,28.888888888888886,50.0,50.0,0.0,25.0,,,,,,,,50,0.0
216,100.0,18.75,5,11.11111111111111,100.0,25.0,50.0,0.0,,,,,,,80.0,0,0.0
217,100.0,0.0,8,17.77777777777778,100.0,50.0,100.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.0,0,0.0
218,75.0,0.0,10,22.22222222222222,50.0,25.0,50.0,75.0,,,,,,,70.0,0,6.666666666666667
219,100.0,12.5,7,15.555555555555555,75.0,50.0,0.0,50.0,,,,,,,90.0,0,13.333333333333334
220,100.0,0.0,4,8.88888888888889,75.0,75.0,0.0,25.0,75.0,75.0,50.0,50.0,50.0,50.0,90.0,0,6.666666666666667
221,100.0,18.75,8,17.77777777777778,100.0,25.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100,13.333333333333334
222,100.0,12.5,3,6.666666666666667,50.0,25.0,0.0,25.0,62.5,75.0,25.0,100.0,50.0,25.0,100.0,50,13.333333333333334
223,0.0,0.0,2,4.444444444444445,0.0,25.0,0.0,,,,,,,,,0,0.0
224,0.0,0.0,3,6.666666666666667,25.0,25.0,0.0,25.0,,,,,,,80.0,0,0.0
225,100.0,12.5,12,26.666666666666668,25.0,25.0,100.0,0.0,,,,,,,10.0,0,16.666666666666664
226,,0.0,0,0.0,40.0,50.0,,,,,,,,,,0,0.0
227,100.0,12.5,2,4.444444444444445,100.0,75.0,0.0,25.0,,,,,,,80.0,0,6.666666666666667
228,40.0,0.0,1,2.2222222222222223,75.0,25.0,0.0,25.0,,,,,,,,0,6.666666666666667
229,75.0,25.0,6,13.333333333333334,50.0,0.0,0.0,0.0,,,,,,,80.0,0,3.3333333333333335
230,100.0,43.75,3,6.666666666666667,75.0,75.0,50.0,50.0,75.0,100.0,75.0,75.0,50.0,50.0,90.0,50,13.333333333333334
231,100.0,50.0,0,0.0,100.0,100.0,0.0,100.0,87.5,100.0,100.0,100.0,100.0,25.0,,100,3.3333333333333335
232,40.0,0.0,4,8.88888888888889,75.0,25.0,0.0,0.0,,,,,,,,0,3.3333333333333335
233,100.0,6.25,3,6.666666666666667,50.0,50.0,0.0,50.0,,,,,,,,0,3.3333333333333335
234,40.0,6.25,1,2.2222222222222223,75.0,75.0,100.0,,,,,,,,50.0,0,6.666666666666667
235,100.0,25.0,5,11.11111111111111,75.0,50.0,50.0,25.0,,,,,,,10.0,0,6.666666666666667
236,100.0,75.0,4,8.88888888888889,100.0,100.0,0.0,100.0,,,,,,,,100,10.0
237,100.0,87.5,0,0.0,100.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,13.333333333333334
238,40.0,0.0,1,2.2222222222222223,50.0,25.0,0.0,25.0,,,,,,,,0,10.0
239,100.0,0.0,2,4.444444444444445,50.0,75.0,0.0,50.0,,,,,,,,0,0.0
240,100.0,43.75,19,42.22222222222222,100.0,50.0,0.0,25.0,,,,,,,80.0,100,26.666666666666668
241,0.0,0.0,4,8.88888888888889,0.0,25.0,50.0,,,,,,,,,0,0.0
