RespondentID,AI_Adoption,AI_WorkflowCoverage_Current,AI_ToolBreadth_Absolute,AI_ToolBreadth_Relative,AI_Attitude,AI_Trust,AI_ExpectedBenefits_Efficiency,AI_ExpectedBenefits_Learning,AI_ExpectedBenefits_Quality,AI_ExpectedBenefits_Collab,AI_UseForLearning
72,0.0,0.0,0,0.0,,,,,,,0
73,100.0,37.5,0,0.0,100.0,75.0,100.0,100.0,100.0,0.0,0
74,100.0,50.0,2,10.0,75.0,75.0,50.0,100.0,100.0,100.0,100
75,30.0,0.0,1,5.0,75.0,50.0,,,,,0
76,0.0,0.0,0,0.0,,,,,,,0
77,100.0,12.5,1,5.0,75.0,100.0,50.0,0.0,0.0,0.0,0
78,100.0,12.5,1,5.0,100.0,75.0,100.0,100.0,0.0,0.0,0
79,0.0,0.0,0,0.0,,,,,,,0
80,100.0,0.0,2,10.0,75.0,75.0,100.0,100.0,100.0,0.0,0
81,0.0,0.0,0,0.0,,,,,,,0
82,30.0,0.0,2,10.0,100.0,75.0,,,,,0
83,0.0,0.0,1,5.0,,,,,,,0
84,0.0,0.0,0,0.0,,,,,,,0
85,30.0,0.0,0,0.0,40.0,75.0,,,,,0
86,0.0,0.0,0,0.0,,,,,,,0
87,100.0,12.5,1,5.0,50.0,50.0,50.0,0.0,0.0,0.0,0
88,100.0,37.5,2,10.0,75.0,50.0,50.0,100.0,100.0,0.0,100
89,100.0,0.0,0,0.0,75.0,50.0,50.0,0.0,0.0,0.0,0
90,100.0,12.5,2,10.0,50.0,50.0,0.0,100.0,0.0,0.0,0
91,100.0,37.5,3,15.0,100.0,75.0,100.0,0.0,100.0,0.0,0
92,0.0,0.0,0,0.0,,,,,,,0
93,100.0,12.5,3,15.0,75.0,100.0,0.0,100.0,0.0,0.0,0
94,30.0,0.0,3,15.0,50.0,75.0,,,,,0
95,100.0,0.0,1,5.0,75.0,75.0,50.0,0.0,0.0,0.0,0
96,100.0,0.0,2,10.0,75.0,75.0,50.0,0.0,0.0,0.0,0
97,0.0,0.0,0,0.0,,,,,,,0
98,100.0,25.0,1,5.0,50.0,25.0,100.0,100.0,0.0,0.0,0
99,0.0,0.0,2,10.0,,,,,,,0
100,0.0,0.0,1,5.0,,,,,,,0
101,30.0,0.0,0,0.0,40.0,25.0,,,,,0
102,100.0,12.5,2,10.0,50.0,25.0,50.0,0.0,100.0,100.0,0
103,0.0,0.0,0,0.0,,,,,,,0
104,30.0,0.0,1,5.0,100.0,75.0,,,,,0
105,30.0,0.0,1,5.0,50.0,50.0,,,,,0
106,100.0,0.0,1,5.0,75.0,25.0,0.0,0.0,100.0,0.0,0
107,30.0,0.0,0,0.0,50.0,50.0,,,,,0
108,30.0,0.0,0,0.0,100.0,25.0,,,,,0
109,0.0,0.0,2,10.0,,,,,,,0
110,100.0,12.5,5,25.0,75.0,50.0,100.0,0.0,0.0,0.0,0
111,0.0,0.0,1,5.0,,,,,,,0
112,100.0,37.5,3,15.0,100.0,75.0,100.0,100.0,100.0,0.0,0
113,100.0,0.0,1,5.0,100.0,75.0,100.0,100.0,0.0,0.0,0
114,100.0,50.0,1,5.0,100.0,75.0,100.0,100.0,100.0,100.0,100
115,100.0,12.5,5,25.0,100.0,75.0,100.0,100.0,100.0,0.0,0
116,100.0,12.5,2,10.0,100.0,50.0,100.0,100.0,100.0,100.0,0
117,100.0,50.0,6,30.0,100.0,50.0,100.0,100.0,0.0,0.0,100
118,100.0,0.0,2,10.0,100.0,75.0,50.0,100.0,0.0,0.0,0
119,0.0,0.0,1,5.0,,,,,,,0
120,30.0,0.0,0,0.0,40.0,75.0,,,,,0
121,0.0,0.0,1,5.0,,,,,,,0
122,30.0,0.0,0,0.0,50.0,50.0,,,,,0
123,0.0,0.0,0,0.0,,,,,,,0
124,0.0,0.0,0,0.0,,,,,,,0
125,30.0,0.0,1,5.0,75.0,75.0,,,,,0
126,0.0,0.0,0,0.0,,,,,,,0
127,30.0,0.0,2,10.0,75.0,75.0,,,,,0
128,0.0,0.0,1,5.0,,,,,,,0
129,30.0,0.0,1,5.0,100.0,75.0,,,,,0
130,0.0,0.0,0,0.0,,,,,,,0
131,0.0,0.0,0,0.0,,,,,,,0
132,30.0,0.0,1,5.0,40.0,50.0,,,,,0
133,100.0,25.0,3,15.0,75.0,50.0,100.0,0.0,0.0,0.0,0
134,30.0,0.0,1,5.0,100.0,50.0,,,,,0
135,0.0,0.0,0,0.0,,,,,,,0
136,0.0,0.0,0,0.0,,,,,,,0
137,100.0,25.0,2,10.0,75.0,75.0,50.0,100.0,100.0,0.0,0
138,30.0,0.0,0,0.0,75.0,50.0,,,,,0
139,30.0,0.0,0,0.0,100.0,75.0,,,,,0
140,0.0,0.0,0,0.0,,,,,,,0
141,30.0,0.0,1,5.0,40.0,75.0,,,,,0
142,0.0,0.0,0,0.0,,,,,,,0
143,100.0,62.5,2,10.0,75.0,50.0,100.0,100.0,100.0,100.0,100
144,100.0,12.5,1,5.0,75.0,75.0,50.0,100.0,0.0,0.0,0
145,0.0,0.0,0,0.0,,,,,,,0
146,30.0,0.0,0,0.0,50.0,50.0,,,,,0
147,0.0,0.0,0,0.0,,,,,,,0
148,100.0,12.5,3,15.0,75.0,75.0,50.0,100.0,0.0,100.0,0
149,0.0,0.0,1,5.0,,,,,,,0
150,0.0,0.0,0,0.0,,,,,,,0
151,0.0,0.0,0,0.0,,,,,,,0
152,100.0,37.5,2,10.0,75.0,100.0,100.0,100.0,100.0,100.0,100
153,100.0,37.5,1,5.0,100.0,100.0,100.0,0.0,0.0,100.0,100
154,0.0,0.0,0,0.0,,,,,,,0
155,0.0,0.0,1,5.0,,,,,,,0
156,100.0,37.5,1,5.0,100.0,75.0,0.0,100.0,0.0,0.0,100
157,0.0,0.0,2,10.0,,,,,,,0
158,0.0,0.0,0,0.0,,,,,,,0
159,100.0,50.0,4,20.0,100.0,50.0,100.0,100.0,0.0,0.0,0
160,30.0,0.0,0,0.0,50.0,50.0,,,,,0
161,0.0,0.0,0,0.0,,,,,,,0
162,0.0,0.0,0,0.0,,,,,,,0
163,100.0,37.5,4,20.0,100.0,75.0,50.0,100.0,100.0,100.0,100
164,100.0,25.0,3,15.0,100.0,75.0,100.0,100.0,0.0,0.0,100
165,0.0,0.0,0,0.0,,,,,,,0
166,30.0,0.0,1,5.0,75.0,75.0,,,,,0
167,30.0,0.0,0,0.0,50.0,25.0,,,,,0
168,0.0,0.0,1,5.0,,,,,,,0
169,100.0,37.5,1,5.0,100.0,50.0,100.0,100.0,0.0,0.0,0
170,100.0,62.5,3,15.0,75.0,50.0,50.0,100.0,0.0,0.0,100
171,0.0,0.0,0,0.0,,,,,,,0
172,100.0,37.5,1,5.0,75.0,75.0,100.0,100.0,0.0,0.0,100
173,100.0,50.0,2,10.0,75.0,50.0,100.0,100.0,0.0,0.0,0
174,100.0,25.0,7,35.0,100.0,25.0,50.0,100.0,0.0,0.0,0
175,0.0,0.0,0,0.0,,,,,,,0
176,100.0,37.5,1,5.0,100.0,75.0,50.0,100.0,100.0,100.0,0
177,30.0,0.0,0,0.0,75.0,50.0,,,,,0
178,100.0,25.0,3,15.0,100.0,75.0,100.0,100.0,0.0,0.0,0
179,0.0,0.0,1,5.0,,,,,,,0
180,30.0,0.0,0,0.0,40.0,50.0,,,,,0
181,0.0,0.0,0,0.0,,,,,,,0
182,30.0,0.0,3,15.0,75.0,25.0,,,,,0
183,100.0,25.0,0,0.0,100.0,75.0,0.0,0.0,0.0,100.0,0
184,0.0,0.0,3,15.0,,,,,,,0
185,0.0,0.0,0,0.0,,,,,,,0
186,0.0,0.0,0,0.0,,,,,,,0
187,100.0,37.5,0,0.0,75.0,75.0,50.0,100.0,0.0,0.0,0
188,30.0,0.0,1,5.0,40.0,25.0,,,,,0
189,100.0,50.0,1,5.0,75.0,75.0,100.0,0.0,100.0,0.0,0
190,0.0,0.0,0,0.0,,,,,,,0
191,0.0,0.0,2,10.0,,,,,,,0
192,0.0,0.0,1,5.0,,,,,,,0
193,100.0,50.0,1,5.0,75.0,75.0,50.0,100.0,100.0,0.0,100
194,100.0,0.0,0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0
195,0.0,0.0,2,10.0,,,,,,,0
196,0.0,0.0,0,0.0,,,,,,,0
197,0.0,0.0,0,0.0,,,,,,,0
198,0.0,0.0,3,15.0,,,,,,,0
199,0.0,0.0,0,0.0,,,,,,,0
200,30.0,0.0,1,5.0,50.0,75.0,,,,,0
201,0.0,0.0,0,0.0,,,,,,,0
202,0.0,0.0,0,0.0,,,,,,,0
203,100.0,12.5,0,0.0,50.0,25.0,50.0,0.0,0.0,0.0,0
204,100.0,50.0,1,5.0,50.0,25.0,50.0,100.0,0.0,0.0,0
205,100.0,0.0,1,5.0,50.0,25.0,0.0,100.0,0.0,0.0,0
206,0.0,0.0,0,0.0,,,,,,,0
207,100.0,87.5,1,5.0,100.0,50.0,100.0,100.0,100.0,100.0,0
208,30.0,0.0,1,5.0,75.0,75.0,,,,,0
209,100.0,37.5,4,20.0,75.0,25.0,50.0,0.0,0.0,0.0,0
210,0.0,0.0,0,0.0,,,,,,,0
211,0.0,0.0,0,0.0,,,,,,,0
212,100.0,0.0,1,5.0,25.0,50.0,100.0,100.0,100.0,0.0,0
213,0.0,0.0,0,0.0,,,,,,,0
214,0.0,0.0,0,0.0,,,,,,,0
215,30.0,0.0,1,5.0,75.0,50.0,,,,,0
216,0.0,0.0,0,0.0,,,,,,,0
217,30.0,0.0,1,5.0,100.0,75.0,,,,,0
218,0.0,0.0,0,0.0,,,,,,,0
219,100.0,25.0,1,5.0,75.0,75.0,100.0,0.0,100.0,0.0,0
220,0.0,0.0,1,5.0,,,,,,,0
221,30.0,0.0,3,15.0,75.0,0.0,,,,,0
222,0.0,0.0,0,0.0,,,,,,,0
223,0.0,0.0,0,0.0,,,,,,,0
224,100.0,0.0,3,15.0,50.0,0.0,50.0,100.0,0.0,0.0,0
225,30.0,0.0,0,0.0,50.0,25.0,,,,,0
226,100.0,0.0,2,10.0,75.0,75.0,50.0,100.0,100.0,0.0,0
227,30.0,0.0,1,5.0,50.0,25.0,,,,,0
228,0.0,0.0,0,0.0,,,,,,,0
229,100.0,0.0,2,10.0,75.0,75.0,100.0,100.0,100.0,100.0,0
230,100.0,50.0,4,20.0,100.0,75.0,100.0,0.0,100.0,0.0,100
231,100.0,37.5,2,10.0,100.0,25.0,100.0,0.0,0.0,0.0,0
232,100.0,75.0,5,25.0,75.0,75.0,100.0,100.0,100.0,0.0,100
233,100.0,37.5,2,10.0,100.0,50.0,100.0,100.0,0.0,0.0,0
234,100.0,25.0,1,5.0,50.0,75.0,0.0,0.0,100.0,0.0,0
235,100.0,25.0,1,5.0,25.0,25.0,0.0,0.0,100.0,0.0,0
236,0.0,0.0,1,5.0,,,,,,,0
237,0.0,0.0,0,0.0,,,,,,,0
238,0.0,0.0,0,0.0,,,,,,,0
239,30.0,0.0,0,0.0,75.0,25.0,,,,,0
240,0.0,0.0,0,0.0,,,,,,,0
241,100.0,25.0,3,15.0,0.0,0.0,100.0,0.0,0.0,0.0,0
242,0.0,0.0,0,0.0,,,,,,,0
243,0.0,0.0,0,0.0,,,,,,,0
244,30.0,0.0,1,5.0,50.0,50.0,,,,,0
245,100.0,12.5,2,10.0,75.0,75.0,50.0,0.0,0.0,0.0,0
246,0.0,0.0,1,5.0,,,,,,,0
247,100.0,37.5,2,10.0,100.0,75.0,50.0,0.0,0.0,0.0,100
248,100.0,12.5,2,10.0,50.0,75.0,100.0,100.0,0.0,0.0,100
249,30.0,0.0,1,5.0,100.0,75.0,,,,,0
250,0.0,0.0,0,0.0,,,,,,,0
251,30.0,0.0,3,15.0,75.0,50.0,,,,,0
252,100.0,37.5,1,5.0,75.0,75.0,100.0,0.0,0.0,0.0,0
253,30.0,0.0,2,10.0,40.0,0.0,,,,,0
254,0.0,0.0,0,0.0,,,,,,,0
255,0.0,0.0,1,5.0,,,,,,,0
256,0.0,0.0,0,0.0,,,,,,,0
257,100.0,12.5,3,15.0,75.0,25.0,100.0,0.0,0.0,0.0,0
258,0.0,0.0,1,5.0,,,,,,,0
259,0.0,0.0,0,0.0,,,,,,,0
260,100.0,25.0,1,5.0,100.0,50.0,50.0,0.0,100.0,0.0,0
261,100.0,37.5,1,5.0,40.0,75.0,100.0,0.0,0.0,0.0,0
262,0.0,0.0,0,0.0,,,,,,,0
263,0.0,0.0,0,0.0,,,,,,,0
264,100.0,62.5,3,15.0,100.0,100.0,50.0,0.0,0.0,0.0,100
265,0.0,0.0,0,0.0,,,,,,,0
266,100.0,50.0,3,15.0,75.0,75.0,50.0,0.0,0.0,0.0,100
267,100.0,25.0,3,15.0,50.0,0.0,0.0,100.0,0.0,0.0,0
268,0.0,0.0,1,5.0,,,,,,,0
269,0.0,0.0,0,0.0,,,,,,,0
270,0.0,0.0,0,0.0,,,,,,,0
271,100.0,0.0,1,5.0,75.0,25.0,50.0,0.0,100.0,0.0,0
272,0.0,0.0,0,0.0,,,,,,,0
273,0.0,0.0,0,0.0,,,,,,,0
274,100.0,37.5,1,5.0,75.0,100.0,0.0,100.0,0.0,0.0,0
275,0.0,0.0,1,5.0,,,,,,,0
276,100.0,12.5,1,5.0,50.0,25.0,0.0,100.0,0.0,0.0,0
277,0.0,0.0,0,0.0,,,,,,,0
278,100.0,37.5,2,10.0,50.0,50.0,100.0,100.0,0.0,0.0,0
279,0.0,0.0,2,10.0,,,,,,,0
280,100.0,50.0,4,20.0,0.0,25.0,100.0,100.0,0.0,0.0,100
281,30.0,0.0,1,5.0,25.0,50.0,,,,,0
282,30.0,0.0,0,0.0,100.0,50.0,,,,,0
283,100.0,37.5,4,20.0,100.0,0.0,50.0,0.0,0.0,0.0,0
284,0.0,0.0,0,0.0,,,,,,,0
285,30.0,0.0,1,5.0,100.0,75.0,,,,,0
286,0.0,0.0,0,0.0,,,,,,,0
287,0.0,0.0,0,0.0,,,,,,,0
288,0.0,0.0,0,0.0,,,,,,,0
289,100.0,0.0,1,5.0,75.0,75.0,100.0,0.0,0.0,0.0,0
290,100.0,0.0,1,5.0,50.0,,,,,,0
291,30.0,0.0,2,10.0,100.0,75.0,,,,,0
292,100.0,25.0,1,5.0,75.0,50.0,50.0,0.0,0.0,0.0,0
293,0.0,0.0,0,0.0,,,,,,,0
294,0.0,0.0,0,0.0,,,,,,,0
295,30.0,0.0,0,0.0,75.0,50.0,,,,,0
296,30.0,0.0,0,0.0,40.0,25.0,,,,,0
297,100.0,62.5,2,10.0,75.0,75.0,50.0,100.0,0.0,0.0,100
298,30.0,0.0,1,5.0,50.0,50.0,,,,,0
299,100.0,50.0,1,5.0,100.0,75.0,100.0,0.0,0.0,0.0,0
300,100.0,0.0,2,10.0,75.0,75.0,50.0,100.0,100.0,0.0,0
301,100.0,12.5,2,10.0,50.0,75.0,50.0,100.0,0.0,0.0,0
302,100.0,62.5,2,10.0,75.0,25.0,100.0,100.0,0.0,0.0,100
303,100.0,0.0,0,0.0,75.0,75.0,50.0,100.0,0.0,100.0,0
304,,0.0,0,0.0,,,,,,,0
305,0.0,0.0,0,0.0,,,,,,,0
306,0.0,0.0,1,5.0,,,,,,,0
307,100.0,0.0,1,5.0,75.0,75.0,100.0,0.0,100.0,0.0,0
308,100.0,0.0,2,10.0,40.0,75.0,100.0,0.0,100.0,0.0,0
309,0.0,0.0,1,5.0,,,,,,,0
310,0.0,0.0,0,0.0,,,,,,,0
311,100.0,25.0,1,5.0,75.0,50.0,50.0,0.0,0.0,0.0,0
312,0.0,0.0,0,0.0,,,,,,,0
313,100.0,12.5,2,10.0,100.0,75.0,100.0,0.0,0.0,0.0,0
314,0.0,0.0,1,5.0,,,,,,,0
315,30.0,0.0,0,0.0,75.0,0.0,,,,,0
316,0.0,0.0,0,0.0,,,,,,,0
317,100.0,25.0,1,5.0,75.0,50.0,100.0,100.0,100.0,0.0,0
318,100.0,37.5,1,5.0,0.0,50.0,100.0,0.0,0.0,0.0,0
319,30.0,0.0,0,0.0,50.0,50.0,,,,,0
320,30.0,0.0,0,0.0,100.0,50.0,,,,,0
321,30.0,0.0,1,5.0,100.0,75.0,,,,,0
322,30.0,0.0,0,0.0,40.0,50.0,,,,,0
323,30.0,0.0,0,0.0,40.0,50.0,,,,,0
324,0.0,0.0,1,5.0,,,,,,,0
325,100.0,50.0,1,5.0,75.0,75.0,50.0,100.0,0.0,0.0,100
326,30.0,0.0,3,15.0,50.0,25.0,,,,,0
327,100.0,12.5,1,5.0,100.0,75.0,50.0,100.0,0.0,0.0,0
328,30.0,0.0,1,5.0,75.0,75.0,,,,,0
329,0.0,0.0,0,0.0,,,,,,,0
330,0.0,0.0,0,0.0,,,,,,,0
331,0.0,0.0,1,5.0,,,,,,,0
332,100.0,25.0,4,20.0,75.0,75.0,100.0,0.0,100.0,0.0,0
333,0.0,0.0,0,0.0,,,,,,,0
334,100.0,50.0,2,10.0,75.0,25.0,50.0,100.0,0.0,0.0,0
335,100.0,25.0,2,10.0,75.0,25.0,50.0,100.0,0.0,0.0,0
336,30.0,0.0,0,0.0,75.0,25.0,,,,,0
337,100.0,75.0,1,5.0,100.0,25.0,100.0,100.0,0.0,0.0,100
338,100.0,12.5,1,5.0,75.0,25.0,100.0,0.0,0.0,0.0,0
339,100.0,37.5,2,10.0,100.0,75.0,50.0,100.0,0.0,0.0,0
340,0.0,0.0,0,0.0,,,,,,,0
341,0.0,0.0,0,0.0,,,,,,,0
342,100.0,50.0,1,5.0,75.0,75.0,100.0,100.0,100.0,0.0,100
343,100.0,25.0,4,20.0,100.0,50.0,100.0,100.0,0.0,0.0,0
344,100.0,25.0,1,5.0,100.0,50.0,100.0,100.0,0.0,0.0,100
345,100.0,62.5,1,5.0,75.0,75.0,50.0,0.0,0.0,0.0,0
346,0.0,0.0,1,5.0,,,,,,,0
347,0.0,0.0,2,10.0,,,,,,,0
348,0.0,0.0,0,0.0,,,,,,,0
349,0.0,0.0,0,0.0,,,,,,,0
350,0.0,0.0,1,5.0,,,,,,,0
351,0.0,0.0,0,0.0,,,,,,,0
352,0.0,0.0,0,0.0,,,,,,,0
353,30.0,0.0,1,5.0,75.0,0.0,,,,,0
354,100.0,25.0,3,15.0,50.0,75.0,50.0,0.0,0.0,0.0,0
355,100.0,25.0,1,5.0,75.0,75.0,50.0,100.0,0.0,0.0,0
356,100.0,50.0,2,10.0,25.0,25.0,100.0,0.0,0.0,0.0,100
357,0.0,0.0,0,0.0,,,,,,,0
358,0.0,0.0,0,0.0,,,,,,,0
359,30.0,0.0,0,0.0,25.0,0.0,,,,,0
360,0.0,0.0,0,0.0,,,,,,,0
361,0.0,0.0,1,5.0,,,,,,,0
362,100.0,50.0,1,5.0,100.0,75.0,50.0,0.0,100.0,0.0,100
363,0.0,0.0,0,0.0,,,,,,,0
364,100.0,12.5,1,5.0,100.0,100.0,100.0,100.0,0.0,0.0,100
365,0.0,0.0,0,0.0,,,,,,,0
366,0.0,0.0,2,10.0,,,,,,,0
367,0.0,0.0,1,5.0,,,,,,,0
368,0.0,0.0,1,5.0,,,,,,,0
369,30.0,0.0,0,0.0,75.0,0.0,,,,,0
370,0.0,0.0,0,0.0,,,,,,,0
371,100.0,25.0,3,15.0,100.0,75.0,100.0,0.0,100.0,0.0,0
372,100.0,62.5,1,5.0,75.0,25.0,100.0,100.0,100.0,0.0,100
373,30.0,0.0,1,5.0,40.0,25.0,,,,,0
374,30.0,0.0,0,0.0,75.0,25.0,,,,,0
375,100.0,12.5,3,15.0,75.0,50.0,100.0,100.0,0.0,0.0,0
376,100.0,25.0,3,15.0,50.0,25.0,100.0,0.0,0.0,0.0,0
377,0.0,0.0,0,0.0,,,,,,,0
378,30.0,0.0,0,0.0,75.0,25.0,,,,,0
379,0.0,0.0,0,0.0,,,,,,,0
380,30.0,0.0,4,20.0,75.0,75.0,,,,,0
381,100.0,0.0,1,5.0,75.0,25.0,100.0,0.0,0.0,0.0,0
382,0.0,0.0,0,0.0,,,,,,,0
383,30.0,0.0,0,0.0,50.0,75.0,,,,,0
384,0.0,0.0,0,0.0,,,,,,,0
385,30.0,0.0,0,0.0,100.0,50.0,,,,,0
386,0.0,0.0,1,5.0,,,,,,,0
387,100.0,25.0,1,5.0,50.0,0.0,50.0,0.0,0.0,0.0,0
388,100.0,37.5,2,10.0,100.0,75.0,100.0,0.0,0.0,0.0,0
389,100.0,37.5,2,10.0,50.0,25.0,50.0,100.0,0.0,0.0,100
390,100.0,12.5,2,10.0,75.0,75.0,50.0,100.0,100.0,0.0,100
391,100.0,25.0,2,10.0,100.0,50.0,100.0,100.0,100.0,0.0,0
392,0.0,0.0,2,10.0,,,,,,,0
393,0.0,0.0,1,5.0,,,,,,,0
394,100.0,12.5,2,10.0,75.0,75.0,50.0,100.0,0.0,0.0,0
395,30.0,0.0,2,10.0,40.0,25.0,,,,,0
396,30.0,0.0,2,10.0,40.0,0.0,,,,,0
397,0.0,0.0,2,10.0,,,,,,,0
398,100.0,12.5,2,10.0,75.0,50.0,100.0,100.0,0.0,0.0,100
399,30.0,0.0,4,20.0,75.0,75.0,,,,,0
400,0.0,0.0,0,0.0,,,,,,,0
401,30.0,0.0,0,0.0,40.0,50.0,,,,,0
402,0.0,0.0,0,0.0,,,,,,,0
403,30.0,0.0,0,0.0,75.0,75.0,,,,,0
404,100.0,37.5,2,10.0,75.0,75.0,0.0,100.0,0.0,0.0,100
405,0.0,0.0,0,0.0,,,,,,,0
406,0.0,0.0,2,10.0,,,,,,,0
407,0.0,0.0,5,25.0,,,,,,,0
408,30.0,0.0,1,5.0,50.0,75.0,,,,,0
409,30.0,0.0,0,0.0,50.0,25.0,,,,,0
410,0.0,0.0,1,5.0,,,,,,,0
411,0.0,0.0,0,0.0,,,,,,,0
412,0.0,0.0,2,10.0,,,,,,,0
413,0.0,0.0,1,5.0,,,,,,,0
414,0.0,0.0,0,0.0,,,,,,,0
415,0.0,0.0,1,5.0,,,,,,,0
416,30.0,0.0,1,5.0,100.0,75.0,,,,,0
417,30.0,0.0,1,5.0,100.0,75.0,,,,,0
418,30.0,0.0,0,0.0,75.0,25.0,,,,,0
419,0.0,0.0,1,5.0,,,,,,,0
420,100.0,12.5,2,10.0,75.0,75.0,0.0,100.0,0.0,0.0,0
421,30.0,0.0,3,15.0,75.0,75.0,,,,,0
422,100.0,25.0,2,10.0,75.0,75.0,100.0,100.0,100.0,0.0,0
423,100.0,0.0,2,10.0,75.0,50.0,100.0,0.0,0.0,0.0,0
424,100.0,12.5,2,10.0,75.0,50.0,100.0,100.0,100.0,0.0,0
425,0.0,0.0,2,10.0,,,,,,,0
426,0.0,0.0,1,5.0,,,,,,,0
427,100.0,62.5,4,20.0,75.0,75.0,100.0,0.0,0.0,0.0,0
428,100.0,62.5,3,15.0,100.0,75.0,100.0,100.0,100.0,0.0,100
